bedrooms,bathrooms,size_sqm,plot_size_sqm,age_years,distance_to_cbd_km,gated_community,has_pool,has_garage,has_backup_power,has_borehole,price_ghs,city_Cape Coast,city_Kumasi,city_Takoradi,city_Tamale,city_Tema,property_type_Detached House,property_type_Semi-Detached,property_type_Townhouse,price_per_sqm_proxy,total_rooms,is_far_from_cbd
1,1,91.1,0.0,18,3.8,0,0,0,0,0,424559.13,False,False,False,False,True,False,False,False,91.1,2,0
3,3,163.2,222.8,0,14.58,0,1,1,1,0,1294283.03,False,True,False,False,False,True,False,False,163.2,6,0
2,2,137.3,242.2,25,1.15,0,1,1,1,0,852425.54,False,True,False,False,False,True,False,False,137.3,4,0
3,3,198.6,0.0,20,8.63,0,0,0,0,1,1306006.66,False,False,False,False,False,False,False,False,198.6,6,0
2,2,123.0,162.7,29,15.97,1,0,0,0,0,788972.87,False,False,False,False,False,True,False,False,123.0,4,1
3,2,164.0,276.7,25,22.18,0,0,1,1,1,1043621.41,False,False,False,False,False,True,False,False,164.0,5,1
4,3,228.7,312.7,28,6.81,1,0,1,1,0,870824.32,False,False,False,True,False,False,False,True,228.7,7,0
1,1,92.8,0.0,7,4.39,1,0,0,0,0,768620.1,False,False,False,False,False,False,False,False,92.8,2,0
5,5,256.2,0.0,3,2.06,1,0,1,1,0,1902907.89,False,False,False,False,True,False,False,False,256.2,10,0
3,2,169.6,369.0,24,2.68,0,0,1,0,0,973513.84,False,True,False,False,False,False,False,True,169.6,5,0
6,5,289.8,0.0,19,7.32,1,0,0,0,0,1832477.85,False,False,False,False,False,False,False,False,289.8,11,0
4,3,209.7,267.3,25,5.16,1,0,0,0,1,1181693.84,False,False,False,False,True,False,False,True,209.7,7,0
2,1,128.2,0.0,4,2.62,1,0,1,1,0,965618.31,False,False,False,False,True,False,False,False,128.2,3,0
3,2,116.5,246.6,9,19.45,0,0,0,0,0,397105.04,True,False,False,False,False,True,False,False,116.5,5,1
4,3,222.3,0.0,27,3.19,1,0,0,1,0,1453183.61,False,False,False,False,False,False,False,False,222.3,7,0
5,5,256.8,0.0,17,1.95,0,0,0,1,1,689442.24,False,False,False,True,False,False,False,False,256.8,10,0
5,4,241.4,323.2,20,3.1,0,0,0,0,0,1117234.98,False,True,False,False,False,False,False,True,241.4,9,0
4,4,233.8,488.6,28,1.64,0,0,1,0,1,604051.74,False,False,False,True,False,False,True,False,233.8,8,0
5,5,237.3,0.0,21,13.81,1,0,0,0,0,496875.2,True,False,False,False,False,False,False,False,237.3,10,0
4,4,170.1,216.6,5,9.91,0,0,1,0,1,566126.0,False,False,False,True,False,False,False,True,170.1,8,0
2,2,118.8,0.0,3,2.58,1,0,0,0,0,508072.66,False,False,True,False,False,False,False,False,118.8,4,0
4,4,214.2,413.3,29,13.05,1,0,1,1,1,1546796.92,False,False,False,False,True,True,False,False,214.2,8,0
4,3,250.3,480.8,18,19.26,0,0,1,1,0,938447.99,False,False,True,False,False,False,True,False,250.3,7,1
5,5,244.6,375.7,23,0.88,1,0,0,0,0,1832828.98,False,False,False,False,True,False,False,True,244.6,10,0
3,3,152.3,320.7,24,18.67,0,0,0,0,0,630763.47,False,True,False,False,False,True,False,False,152.3,6,1
2,2,137.3,0.0,25,18.47,0,0,0,0,0,480472.05,False,False,False,False,False,False,False,False,137.3,4,1
3,3,179.5,340.5,23,5.8,1,0,1,1,0,1149620.58,False,True,False,False,False,True,False,False,179.5,6,0
5,5,220.7,393.2,2,4.55,0,0,0,0,1,2327922.21,False,False,False,False,False,False,False,True,220.7,10,0
2,2,85.6,174.9,17,1.23,0,0,1,0,0,848345.67,False,False,False,False,False,True,False,False,85.6,4,0
4,4,175.0,0.0,21,2.54,0,0,0,1,0,1208776.52,False,False,False,False,False,False,False,False,175.0,8,0
4,4,229.9,0.0,14,14.09,0,0,0,1,1,749526.36,False,False,True,False,False,False,False,False,229.9,8,0
3,2,160.9,282.0,0,11.16,0,0,1,0,1,1193255.48,False,False,False,False,True,True,False,False,160.9,5,0
3,3,226.7,0.0,9,37.31,0,0,1,0,1,293250.94,False,False,False,True,False,False,False,False,226.7,6,1
3,3,189.4,431.9,11,4.7,1,1,0,0,1,1335066.41,False,False,True,False,False,True,False,False,189.4,6,0
4,3,229.1,0.0,2,1.94,1,0,0,0,0,1217643.29,False,False,True,False,False,False,False,False,229.1,7,0
4,4,193.1,0.0,5,6.71,0,0,0,0,0,452308.04,True,False,False,False,False,False,False,False,193.1,8,0
2,2,93.3,0.0,18,3.76,0,0,1,1,1,374290.42,False,True,False,False,False,False,False,False,93.3,4,0
2,2,160.8,199.9,21,10.52,0,0,0,0,0,459452.98,True,False,False,False,False,False,False,True,160.8,4,0
3,3,110.7,243.9,26,8.7,1,0,0,0,0,552146.06,False,True,False,False,False,True,False,False,110.7,6,0
3,3,179.5,358.1,14,10.86,1,0,1,1,0,1173678.61,True,False,False,False,False,True,False,False,179.5,6,0
3,3,166.8,236.0,3,1.57,1,1,1,0,0,1612402.13,False,False,False,False,True,False,False,True,166.8,6,0
4,4,184.7,0.0,24,16.43,1,0,0,0,1,739132.1,False,False,False,False,False,False,False,False,184.7,8,1
5,5,215.1,0.0,20,20.21,0,0,0,1,0,738388.29,False,False,False,False,True,False,False,False,215.1,10,1
6,6,260.0,0.0,28,2.13,0,0,0,0,0,1054639.94,False,False,False,False,True,False,False,False,260.0,12,0
3,2,202.2,0.0,18,1.04,1,0,0,0,0,776525.94,False,False,True,False,False,False,False,False,202.2,5,0
2,2,104.8,213.5,27,13.41,1,0,1,0,1,478493.93,False,True,False,False,False,True,False,False,104.8,4,0
3,3,195.3,0.0,18,8.96,0,0,0,0,1,884239.41,False,False,False,False,False,False,False,False,195.3,6,0
3,2,158.6,375.1,6,8.52,1,0,0,1,1,724963.38,True,False,False,False,False,False,False,True,158.6,5,0
4,4,198.5,247.1,19,8.33,0,0,1,0,0,846232.08,False,False,True,False,False,False,True,False,198.5,8,0
2,1,164.3,368.0,16,5.81,0,0,1,0,0,555539.75,False,False,False,True,False,False,False,True,164.3,3,0
2,1,167.6,380.3,20,14.0,0,0,1,0,1,1173119.35,False,False,False,False,True,True,False,False,167.6,3,0
3,3,152.3,0.0,12,9.25,0,0,1,0,0,1074622.35,False,False,False,False,False,False,False,False,152.3,6,0
2,1,144.7,0.0,25,1.07,1,0,0,1,1,582135.83,False,True,False,False,False,False,False,False,144.7,3,0
3,2,173.8,269.5,14,2.93,1,0,0,0,1,1029152.1,False,False,False,False,True,False,True,False,173.8,5,0
2,2,139.1,291.5,9,5.42,0,0,0,1,0,1625381.54,False,False,False,False,False,False,False,True,139.1,4,0
4,3,226.6,0.0,16,2.14,0,0,1,1,1,1953443.06,False,False,False,False,False,False,False,False,226.6,7,0
4,4,171.8,426.8,12,9.37,0,0,1,0,0,1257099.58,False,False,False,False,True,True,False,False,171.8,8,0
4,4,205.1,0.0,28,5.64,1,0,1,0,1,1131473.6,False,False,False,False,False,False,False,False,205.1,8,0
2,2,145.6,239.0,22,4.65,1,0,1,1,1,1515227.84,False,False,False,False,False,True,False,False,145.6,4,0
5,5,251.4,301.8,12,6.52,1,0,1,0,1,1792529.14,False,True,False,False,False,True,False,False,251.4,10,0
4,3,168.0,362.6,29,0.53,0,0,1,1,1,789807.56,False,True,False,False,False,True,False,False,168.0,7,0
1,1,81.2,198.3,4,12.85,0,0,1,1,1,660384.14,False,False,False,False,False,False,True,False,81.2,2,0
2,1,169.2,315.8,9,0.88,0,0,1,1,1,1604805.34,False,True,False,False,False,True,False,False,169.2,3,0
3,3,132.5,0.0,2,11.86,1,0,0,1,0,799315.63,False,False,False,False,True,False,False,False,132.5,6,0
3,3,159.7,376.1,24,15.79,0,0,1,1,0,1120215.72,False,False,False,False,False,True,False,False,159.7,6,1
4,4,223.8,0.0,15,9.7,0,0,1,0,0,1366139.3,False,False,False,False,False,False,False,False,223.8,8,0
3,2,134.0,313.9,18,16.71,0,0,0,0,0,691766.09,False,False,False,False,True,False,False,True,134.0,5,1
4,4,236.0,0.0,9,1.6,0,0,1,0,1,695235.49,False,False,False,True,False,False,False,False,236.0,8,0
1,1,109.8,221.9,1,8.54,0,0,0,1,1,602242.73,True,False,False,False,False,True,False,False,109.8,2,0
4,3,198.8,0.0,26,1.96,1,0,1,0,0,500313.98,False,False,False,True,False,False,False,False,198.8,7,0
6,5,330.5,652.0,11,0.7,0,0,1,1,1,3353304.38,False,False,False,False,False,False,False,True,330.5,11,0
6,6,249.3,0.0,22,14.49,0,0,1,1,0,771106.0,False,True,False,False,False,False,False,False,249.3,12,0
6,6,290.8,673.0,19,4.55,0,1,1,1,0,2940687.89,False,False,False,False,False,False,False,True,290.8,12,0
4,4,207.9,0.0,7,1.89,0,0,0,0,0,1784192.73,False,False,False,False,False,False,False,False,207.9,8,0
4,4,206.0,0.0,29,1.5,0,0,0,0,0,572285.8,False,True,False,False,False,False,False,False,206.0,8,0
3,3,159.1,0.0,12,1.8,0,0,0,0,1,801105.68,False,True,False,False,False,False,False,False,159.1,6,0
4,3,216.4,470.5,8,2.72,1,0,1,1,1,1797323.27,False,False,True,False,False,True,False,False,216.4,7,0
3,3,168.8,0.0,0,14.42,0,0,0,1,0,788313.16,False,False,False,False,True,False,False,False,168.8,6,0
1,1,110.3,220.7,8,10.38,1,0,1,0,1,944192.49,False,False,False,False,True,False,False,True,110.3,2,0
3,2,226.9,427.5,9,5.12,1,0,1,0,1,2310765.14,False,False,False,False,False,False,False,True,226.9,5,0
4,3,195.9,276.3,5,10.66,0,1,1,1,0,2269228.96,False,False,False,False,False,True,False,False,195.9,7,0
1,1,132.3,0.0,25,11.36,0,0,0,0,1,489808.67,False,False,False,False,True,False,False,False,132.3,2,0
3,3,172.4,402.6,1,13.1,1,1,0,0,0,2199325.48,False,False,False,False,False,False,False,True,172.4,6,0
2,1,181.4,366.9,13,28.93,0,1,1,0,1,594883.34,False,True,False,False,False,False,False,True,181.4,3,1
3,3,165.9,408.2,1,16.11,0,0,1,0,0,850678.06,False,True,False,False,False,True,False,False,165.9,6,1
3,3,223.8,310.9,4,2.79,1,0,0,0,0,2343940.27,False,False,False,False,False,False,False,True,223.8,6,0
3,2,184.1,428.6,11,6.71,0,1,0,0,0,1281649.71,False,False,True,False,False,True,False,False,184.1,5,0
2,2,144.8,0.0,11,1.78,1,0,1,0,1,860453.01,False,False,False,False,True,False,False,False,144.8,4,0
3,3,227.2,313.9,29,3.44,1,0,1,1,0,1456503.7,False,False,False,False,True,False,False,True,227.2,6,0
5,5,266.8,647.7,9,0.64,0,0,1,1,0,2698863.45,False,False,False,False,True,True,False,False,266.8,10,0
4,3,222.6,434.2,29,9.08,1,0,0,1,0,911682.33,False,False,True,False,False,False,True,False,222.6,7,0
3,2,168.9,274.5,5,5.11,1,1,0,1,0,1084534.68,True,False,False,False,False,False,False,True,168.9,5,0
3,2,204.3,346.2,28,5.26,0,0,0,0,1,2025650.41,False,False,False,False,False,True,False,False,204.3,5,0
3,3,176.5,321.7,20,13.95,0,0,1,0,0,1175461.44,False,False,False,False,True,True,False,False,176.5,6,0
4,3,243.0,427.7,15,8.84,1,0,1,0,1,1625822.02,False,True,False,False,False,True,False,False,243.0,7,0
3,3,150.3,0.0,14,6.58,1,0,0,1,0,592653.93,False,True,False,False,False,False,False,False,150.3,6,0
3,3,183.2,263.8,23,13.12,0,1,1,0,1,554632.65,False,False,False,True,False,False,False,True,183.2,6,0
2,2,146.2,288.2,25,2.41,1,0,1,1,0,1223554.89,False,True,False,False,False,True,False,False,146.2,4,0
3,2,220.5,292.0,3,1.8,0,0,0,1,0,2184550.61,False,False,False,False,False,False,False,True,220.5,5,0
3,3,189.0,0.0,8,4.47,1,0,0,1,0,834526.61,False,True,False,False,False,False,False,False,189.0,6,0
3,2,189.2,294.5,13,2.96,1,0,1,0,0,2042220.92,False,False,False,False,True,True,False,False,189.2,5,0
4,3,214.9,333.6,7,8.92,0,0,0,1,1,1628405.73,False,False,False,False,True,True,False,False,214.9,7,0
4,4,212.4,519.3,12,8.56,1,0,1,0,1,1688345.61,False,False,False,False,True,True,False,False,212.4,8,0
6,6,257.2,0.0,18,1.82,1,0,1,0,1,1970122.03,False,False,False,False,False,False,False,False,257.2,12,0
2,1,143.3,317.7,1,1.02,0,0,0,0,0,1075779.07,False,True,False,False,False,True,False,False,143.3,3,0
4,4,221.2,430.7,27,15.75,0,1,0,1,0,1505136.06,False,False,False,False,False,True,False,False,221.2,8,1
4,3,197.3,340.2,1,1.84,0,1,1,1,1,1202842.94,True,False,False,False,False,False,False,True,197.3,7,0
4,4,217.2,0.0,5,1.77,0,0,0,0,0,1017433.09,False,True,False,False,False,False,False,False,217.2,8,0
6,6,281.6,498.8,27,15.75,0,0,1,0,0,554202.96,False,False,False,True,False,True,False,False,281.6,12,1
2,2,156.1,0.0,14,33.42,0,0,0,0,0,539376.89,False,False,False,False,True,False,False,False,156.1,4,1
2,2,101.6,204.4,27,15.57,1,0,1,1,0,878679.39,False,False,False,False,False,True,False,False,101.6,4,1
2,2,134.2,298.9,20,11.93,0,0,0,0,0,567224.54,False,True,False,False,False,True,False,False,134.2,4,0
6,6,283.0,506.7,19,2.97,0,0,1,0,1,869839.91,False,False,False,True,False,False,False,True,283.0,12,0
5,5,252.3,612.0,1,5.1,0,0,0,1,0,1563512.67,False,False,True,False,False,True,False,False,252.3,10,0
5,4,229.0,429.1,18,1.39,1,0,0,0,1,2012417.02,False,False,False,False,True,True,False,False,229.0,9,0
2,2,79.2,142.5,3,3.94,1,0,0,0,0,693895.16,False,False,False,False,True,False,False,True,79.2,4,0
3,3,199.9,402.2,1,9.31,0,0,0,0,1,1342137.3,False,False,False,False,True,False,False,True,199.9,6,0
3,3,149.7,274.3,15,13.86,1,0,0,1,0,764624.94,False,True,False,False,False,False,False,True,149.7,6,0
3,2,169.5,398.8,23,39.55,1,0,1,0,1,659459.79,False,True,False,False,False,True,False,False,169.5,5,1
6,5,247.7,0.0,10,3.59,1,0,0,0,1,1582056.83,False,False,False,False,True,False,False,False,247.7,11,0
2,1,110.1,181.1,21,6.75,1,0,0,0,1,1062782.78,False,False,False,False,False,True,False,False,110.1,3,0
4,4,203.7,309.8,4,17.56,0,0,1,1,0,869752.04,True,False,False,False,False,True,False,False,203.7,8,1
4,3,227.2,427.4,9,11.95,0,0,0,1,0,787481.15,False,False,True,False,False,False,False,True,227.2,7,0
3,2,218.2,0.0,23,2.46,0,0,0,0,0,1228860.61,False,False,False,False,False,False,False,False,218.2,5,0
2,2,164.5,0.0,28,8.73,0,0,0,0,1,793637.85,False,False,False,False,False,False,False,False,164.5,4,0
4,4,209.8,272.8,21,10.01,1,1,0,1,1,1940639.56,False,False,False,False,True,True,False,False,209.8,8,0
4,4,195.4,0.0,27,11.14,1,0,1,1,0,673099.19,False,True,False,False,False,False,False,False,195.4,8,0
2,2,130.7,254.0,15,2.31,1,1,0,1,1,1348945.15,False,False,False,False,True,False,False,True,130.7,4,0
5,4,230.4,414.8,19,13.48,0,0,0,0,1,1159145.97,False,False,False,False,True,True,False,False,230.4,9,0
4,3,218.9,301.2,19,9.06,1,0,0,0,0,1076109.83,False,True,False,False,False,True,False,False,218.9,7,0
2,2,132.4,292.6,11,1.86,1,0,0,1,1,1600209.81,False,False,False,False,False,False,True,False,132.4,4,0
4,4,229.7,0.0,10,26.96,1,0,1,0,0,998191.08,False,False,False,False,False,False,False,False,229.7,8,1
6,6,252.2,488.1,18,3.45,1,1,0,0,1,2850960.44,False,False,False,False,False,False,False,True,252.2,12,0
4,4,235.3,0.0,6,10.34,0,0,0,0,0,673361.82,False,True,False,False,False,False,False,False,235.3,8,0
4,3,150.9,308.8,21,3.25,1,0,0,0,1,1074419.69,False,False,False,False,False,False,True,False,150.9,7,0
3,2,214.6,467.8,14,2.33,1,1,1,0,0,1617322.19,False,False,True,False,False,True,False,False,214.6,5,0
1,1,127.1,241.5,19,13.31,0,0,0,0,0,333349.4,False,False,False,True,False,False,False,True,127.1,2,0
2,2,119.7,0.0,7,13.29,0,0,1,0,0,832914.31,False,False,False,False,False,False,False,False,119.7,4,0
3,2,168.4,417.3,0,7.79,0,0,1,1,0,1477531.52,False,False,False,False,True,False,False,True,168.4,5,0
5,5,223.5,555.4,12,33.64,1,0,1,0,1,855732.81,False,False,True,False,False,False,True,False,223.5,10,1
1,1,149.8,0.0,1,2.38,0,0,1,0,0,797389.7,False,True,False,False,False,False,False,False,149.8,2,0
4,3,216.9,0.0,8,4.04,0,0,1,0,0,803752.98,True,False,False,False,False,False,False,False,216.9,7,0
2,2,130.2,232.5,25,8.11,0,0,1,1,1,510164.2,False,False,True,False,False,False,False,True,130.2,4,0
4,4,186.9,0.0,19,2.56,1,0,0,1,1,1540962.85,False,False,False,False,False,False,False,False,186.9,8,0
2,2,165.7,0.0,13,19.21,0,0,1,0,1,439114.88,False,True,False,False,False,False,False,False,165.7,4,1
1,1,66.0,98.6,20,6.83,0,1,0,0,0,344182.19,False,False,False,False,True,False,False,True,66.0,2,0
3,2,187.8,409.5,8,15.13,1,0,1,0,1,820745.81,False,False,True,False,False,False,True,False,187.8,5,1
3,3,132.5,301.0,20,3.32,0,0,0,1,1,884852.63,False,True,False,False,False,True,False,False,132.5,6,0
5,5,242.4,541.2,29,4.99,0,0,1,1,0,1547820.7,False,False,False,False,True,True,False,False,242.4,10,0
4,4,182.0,299.0,19,5.19,1,0,1,1,0,1979382.64,False,False,False,False,False,True,False,False,182.0,8,0
3,3,185.6,0.0,1,5.62,1,0,0,0,1,1019376.25,False,True,False,False,False,False,False,False,185.6,6,0
4,3,205.4,0.0,24,3.72,0,0,0,1,0,1000154.45,False,False,False,False,False,False,False,False,205.4,7,0
1,1,97.3,218.2,16,2.47,0,0,0,1,0,924130.48,False,False,False,False,False,True,False,False,97.3,2,0
5,5,243.4,586.2,12,4.51,0,0,1,1,1,1473415.14,False,False,True,False,False,True,False,False,243.4,10,0
6,5,283.6,593.5,1,9.26,1,0,0,0,1,2835013.87,False,False,False,False,False,False,False,True,283.6,11,0
3,2,219.6,448.0,18,7.7,0,0,1,1,1,895292.37,True,False,False,False,False,True,False,False,219.6,5,0
5,5,216.4,0.0,16,10.0,0,0,0,0,0,679824.58,False,False,True,False,False,False,False,False,216.4,10,0
2,2,166.2,286.7,12,3.08,0,0,1,1,1,779536.59,True,False,False,False,False,False,False,True,166.2,4,0
3,3,129.1,255.8,3,4.49,0,0,1,0,1,656409.7,True,False,False,False,False,False,True,False,129.1,6,0
5,5,186.3,225.1,14,1.1,0,0,1,1,0,1956481.4,False,False,False,False,False,False,False,True,186.3,10,0
3,2,173.9,214.8,26,6.57,0,0,0,0,1,926351.07,False,False,False,False,False,False,True,False,173.9,5,0
3,3,147.6,0.0,25,1.49,1,0,0,1,1,645260.69,False,True,False,False,False,False,False,False,147.6,6,0
3,2,136.5,224.2,3,31.84,0,0,1,0,0,296132.34,True,False,False,False,False,False,True,False,136.5,5,1
4,3,210.8,0.0,11,2.64,1,0,0,0,1,660813.07,True,False,False,False,False,False,False,False,210.8,7,0
4,4,227.8,0.0,17,8.31,1,0,0,0,0,599718.78,False,False,False,True,False,False,False,False,227.8,8,0
3,3,181.6,423.4,20,11.46,0,0,1,0,0,1799593.13,False,False,False,False,False,True,False,False,181.6,6,0
3,3,173.7,276.7,3,3.19,0,0,1,0,1,771710.68,False,False,False,True,False,False,True,False,173.7,6,0
5,4,274.8,603.0,3,13.64,0,1,0,0,1,1741255.75,False,True,False,False,False,True,False,False,274.8,9,0
3,3,193.1,0.0,17,5.68,1,0,1,1,0,1318239.59,False,False,False,False,False,False,False,False,193.1,6,0
4,4,233.8,0.0,6,0.52,0,0,0,1,0,2068200.57,False,False,False,False,False,False,False,False,233.8,8,0
4,3,218.7,292.2,22,5.85,0,0,1,0,0,1599786.6,False,False,False,False,False,False,True,False,218.7,7,0
4,3,162.7,0.0,7,1.46,1,0,0,0,0,1424886.26,False,False,False,False,False,False,False,False,162.7,7,0
2,1,100.2,140.1,22,19.43,0,0,0,1,1,343977.58,False,False,True,False,False,True,False,False,100.2,3,1
4,4,210.2,0.0,29,5.34,1,0,0,1,1,1110476.51,False,False,False,False,True,False,False,False,210.2,8,0
3,3,149.8,0.0,26,12.45,0,0,0,0,0,425926.56,False,True,False,False,False,False,False,False,149.8,6,0
4,4,210.0,0.0,25,10.54,1,0,1,0,0,906628.78,False,False,False,False,True,False,False,False,210.0,8,0
2,1,135.8,262.6,1,3.51,1,0,1,0,1,1526413.92,False,False,False,False,False,False,True,False,135.8,3,0
2,1,79.0,159.8,23,9.51,0,0,0,1,0,310433.21,False,True,False,False,False,False,True,False,79.0,3,0
4,3,205.4,0.0,18,8.77,0,0,0,1,1,1011087.78,False,False,False,False,False,False,False,False,205.4,7,0
2,2,127.3,279.8,17,6.92,0,0,0,1,1,765410.89,False,True,False,False,False,True,False,False,127.3,4,0
4,4,226.8,309.3,2,3.53,1,0,1,0,1,2103294.93,False,False,False,False,True,False,False,True,226.8,8,0
2,2,96.4,0.0,20,9.82,0,0,1,1,1,605474.19,False,False,False,False,False,False,False,False,96.4,4,0
4,4,203.6,0.0,28,5.49,1,0,0,1,0,479923.33,False,False,False,True,False,False,False,False,203.6,8,0
3,2,191.8,260.2,5,5.07,0,0,1,0,1,1187692.48,False,False,True,False,False,False,False,True,191.8,5,0
4,4,218.9,418.3,7,12.73,1,0,0,0,0,1838274.59,False,False,False,False,True,True,False,False,218.9,8,0
3,2,157.6,0.0,25,37.51,0,0,0,1,1,569163.79,False,False,False,False,False,False,False,False,157.6,5,1
2,1,160.8,370.1,26,7.41,0,0,1,0,1,950428.67,False,False,False,False,True,False,False,True,160.8,3,0
5,5,269.7,0.0,8,9.87,1,0,1,0,0,1997451.47,False,False,False,False,False,False,False,False,269.7,10,0
3,2,186.4,456.8,5,3.07,1,0,1,0,0,2428703.77,False,False,False,False,False,True,False,False,186.4,5,0
2,2,151.2,229.0,5,1.42,1,0,1,1,1,2351892.73,False,False,False,False,False,True,False,False,151.2,4,0
5,5,224.4,473.1,10,6.4,1,0,0,0,1,2993568.51,False,False,False,False,False,True,False,False,224.4,10,0
4,4,247.1,456.8,8,14.93,1,0,1,1,0,2693249.81,False,False,False,False,False,True,False,False,247.1,8,0
3,2,153.9,0.0,28,5.75,1,0,0,0,0,433049.37,False,False,True,False,False,False,False,False,153.9,5,0
1,1,71.4,155.7,2,0.98,0,0,0,1,1,280947.13,True,False,False,False,False,False,True,False,71.4,2,0
3,2,187.2,280.3,0,2.04,1,0,1,0,0,1770248.29,False,True,False,False,False,True,False,False,187.2,5,0
4,4,229.5,557.7,7,4.6,1,0,1,0,0,2128999.07,False,False,False,False,True,True,False,False,229.5,8,0
3,3,140.5,0.0,25,23.11,0,0,0,1,1,631199.75,False,False,False,False,False,False,False,False,140.5,6,1
4,3,165.5,290.1,4,4.48,0,0,1,0,0,1996073.38,False,False,False,False,False,True,False,False,165.5,7,0
2,2,164.9,0.0,21,10.96,1,0,0,1,1,560937.62,False,False,True,False,False,False,False,False,164.9,4,0
3,3,196.6,282.3,29,3.79,1,0,0,1,1,926986.07,True,False,False,False,False,True,False,False,196.6,6,0
3,2,131.3,0.0,9,5.76,0,0,1,1,0,1014850.6,False,False,False,False,False,False,False,False,131.3,5,0
4,4,208.8,293.7,14,10.52,0,1,1,1,1,1610808.25,False,False,False,False,True,False,False,True,208.8,8,0
2,2,151.0,323.9,14,5.07,0,0,1,0,0,1485000.65,False,False,False,False,False,False,False,True,151.0,4,0
4,4,222.2,0.0,1,5.11,0,0,1,1,1,1026568.94,True,False,False,False,False,False,False,False,222.2,8,0
3,2,169.1,0.0,29,6.94,0,0,0,1,0,332477.35,False,False,False,True,False,False,False,False,169.1,5,0
5,4,228.8,0.0,23,22.4,1,0,1,1,0,1150989.06,False,False,False,False,False,False,False,False,228.8,9,1
1,1,95.8,0.0,5,3.75,1,0,0,0,1,708072.9,False,False,False,False,False,False,False,False,95.8,2,0
4,4,206.1,500.4,12,12.79,1,0,1,1,1,2101358.32,False,False,False,False,False,True,False,False,206.1,8,0
5,4,244.3,0.0,9,2.08,1,0,0,0,1,744975.1,False,False,False,True,False,False,False,False,244.3,9,0
3,3,154.3,282.0,15,8.47,0,0,0,0,0,706154.57,False,False,True,False,False,True,False,False,154.3,6,0
3,2,152.9,0.0,1,2.99,0,0,1,0,1,486139.48,False,False,False,True,False,False,False,False,152.9,5,0
3,3,200.4,487.2,25,5.27,1,0,1,0,1,1159685.05,False,False,True,False,False,True,False,False,200.4,6,0
2,1,155.5,0.0,8,5.29,1,0,0,1,0,959586.99,False,False,False,False,True,False,False,False,155.5,3,0
2,2,118.4,257.3,24,5.05,0,0,1,1,0,641601.33,False,False,False,False,True,False,True,False,118.4,4,0
4,4,197.4,288.1,22,0.91,1,0,0,0,0,1590247.52,False,False,False,False,True,True,False,False,197.4,8,0
3,3,214.9,0.0,29,24.71,1,0,1,1,1,466856.91,True,False,False,False,False,False,False,False,214.9,6,1
